Date,z1,z2,z3,z4
2003-02-20,-0.012810582,0.027858535,0.0071444428,0.0017918926
2003-02-21,-0.01306112,0.027452778,0.00837345,0.0017389022
2003-02-24,-0.013251569,0.0270245,0.009759133,0.0016827118
2003-02-25,-0.013476069,0.026594754,0.011198085,0.0016421601
2003-02-26,-0.013675838,0.026170753,0.012705692,0.0016139373
2003-02-27,-0.013804837,0.025739003,0.0143213635,0.0015951749
2003-02-28,-0.013876663,0.025308795,0.01604005,0.0015703198
2003-03-03,-0.013949033,0.024890296,0.017817806,0.001540497
2003-03-04,-0.013969378,0.024432682,0.01963345,0.001510825
2003-03-05,-0.013974863,0.023897614,0.021610491,0.0014842115
2003-03-06,-0.013916603,0.023307463,0.023697346,0.0014629792
2003-03-07,-0.013811125,0.022691721,0.025831617,0.0014507938
2003-03-10,-0.013641014,0.02205554,0.02800002,0.0014446899
2003-03-11,-0.013435885,0.021461103,0.030166216,0.001431914
2003-03-12,-0.01319521,0.020988118,0.03216588,0.001412075
2003-03-13,-0.012940304,0.02066005,0.033897463,0.0013845116
2003-03-14,-0.012702528,0.020487588,0.035300903,0.0013543647
2003-03-17,-0.0124875605,0.020490495,0.03641996,0.001307467
2003-03-18,-0.012271182,0.020598862,0.037290573,0.0012420323
2003-03-19,-0.012050248,0.020727307,0.037911095,0.0011579823
2003-03-20,-0.011852125,0.020981112,0.038082533,0.001043329
2003-03-21,-0.01168521,0.021450706,0.037841246,0.0009205211
2003-03-24,-0.011320396,0.022073617,0.037149955,0.0007643681
2003-03-25,-0.010675878,0.022834014,0.03610356,0.00055861287
2003-03-26,-0.009665876,0.023778696,0.034761027,0.00031826086
2003-03-27,-0.00839135,0.025056776,0.03315197,4.0896237e-05
2003-03-28,-0.0068022963,0.026460297,0.031454783,-0.00026784465
2003-03-31,-0.005260505,0.028001301,0.029590447,-0.0005403664
2003-04-01,-0.0039241454,0.029655952,0.02752135,-0.0007580854
2003-04-02,-0.0030029316,0.031277705,0.02541028,-0.0009155106
2003-04-03,-0.0025075127,0.032757793,0.023367431,-0.0010053739
2003-04-04,-0.002381968,0.034069378,0.021498125,-0.0010417011
2003-04-07,-0.0023611777,0.035283785,0.019719077,-0.0010544974
2003-04-08,-0.0023930816,0.036485698,0.017893333,-0.001051385
2003-04-09,-0.0024369874,0.03775027,0.01593972,-0.0010251235
2003-04-10,-0.002520942,0.0389938,0.013955059,-0.0009743199
2003-04-11,-0.00263033,0.040188607,0.011982593,-0.00090630725
2003-04-14,-0.002757218,0.0413681,0.010068806,-0.0008500051
2003-04-15,-0.0028916814,0.042401053,0.008515466,-0.0008066464
2003-04-16,-0.0032645862,0.043203454,0.0073278723,-0.00073915534
2003-04-17,-0.0038696493,0.043807637,0.0064150775,-0.0006543081
2003-04-18,-0.0047040647,0.044353623,0.00566464,-0.000561988
2003-04-21,-0.005569063,0.044943444,0.004951616,-0.00047211535
2003-04-22,-0.0060985535,0.045642734,0.004211597,-0.00043081306
2003-04-23,-0.0062124124,0.046400145,0.0034142882,-0.0004129205
2003-04-24,-0.0061490545,0.047156144,0.0025710687,-0.0003939364
2003-04-25,-0.0058447476,0.04783174,0.0017999606,-0.00039778464
2003-04-28,-0.005144352,0.048487604,0.0010919468,-0.00046721287
2003-04-29,-0.0040535396,0.049091373,0.0004528705,-0.0006161742
2003-04-30,-0.0028318905,0.04962666,-7.033069e-05,-0.00081174076
2003-05-01,-0.0015422062,0.05001573,-0.00035991985,-0.0010292362
2003-05-02,-0.00025842176,0.050253853,-0.00048599485,-0.0012424607
2003-05-05,0.0009863793,0.050325822,-0.0004153205,-0.0014411211
2003-05-06,0.002211836,0.050397124,-0.00013133045,-0.0016341172
2003-05-07,0.0034572256,0.050543383,0.00026654731,-0.0018265881
2003-05-08,0.004815148,0.050833303,0.0006516157,-0.0020307545
2003-05-09,0.006279529,0.051245555,0.00101298,-0.0022563133
2003-05-12,0.007833803,0.051730312,0.0014111232,-0.0025024563
2003-05-13,0.009309459,0.052012987,0.0018922128,-0.0027456228
2003-05-14,0.010669448,0.052097067,0.0024283128,-0.0029644053
2003-05-15,0.011986761,0.05195868,0.0031570168,-0.0031721517
2003-05-16,0.013240394,0.05168835,0.0040665343,-0.0033479426
2003-05-19,0.014425671,0.05133379,0.0050011342,-0.003484523
2003-05-20,0.015727118,0.05096144,0.0060625644,-0.003606448
